seqName,region_final,clade,source
KF451914|pdm09|HA|Africa|2013-01-30,Africa,6C,GenBank
EPI_ISL_175880|pdm09|HA|Africa|2013-06-06,Africa,6B,GISAID
EPI_ISL_498844|pdm09|HA|Africa|2013-04-23,Africa,6C,GISAID
EPI_ISL_498848|pdm09|HA|Africa|2014-04-29,Africa,6B,GISAID
EPI_ISL_165502|pdm09|HA|Africa|2014-02-03,Africa,6C,GISAID
EPI_ISL_165505|pdm09|HA|Africa|2014-03-27,Africa,6C,GISAID
EPI_ISL_428972|pdm09|HA|Africa|2014-06-10,Africa,6B,GISAID
EPI_ISL_421530|pdm09|HA|Africa|2014-04-08,Africa,6B,GISAID
EPI_ISL_174948|pdm09|HA|Africa|2014-07-07,Africa,6C,GISAID
EPI_ISL_165533|pdm09|HA|Africa|2014-06-11,Africa,6B,GISAID
EPI_ISL_174946|pdm09|HA|Africa|2014-06-16,Africa,6C,GISAID
EPI_ISL_174947|pdm09|HA|Africa|2014-06-23,Africa,6C,GISAID
EPI_ISL_428970|pdm09|HA|Africa|2014-04-28,Africa,6B,GISAID
EPI_ISL_166052|pdm09|HA|Africa|2014-02-07,Africa,6C,GISAID
EPI_ISL_178484|pdm09|HA|Africa|2014-10-04,Africa,6B,GISAID
MH168281|pdm09|HA|Africa|2014-01-09,Africa,6C,GenBank
EPI_ISL_15157111|pdm09|HA|Africa|2014-05-15,Africa,6B,GISAID
EPI_ISL_178482|pdm09|HA|Africa|2014-10-20,Africa,6B,GISAID
EPI_ISL_427421|pdm09|HA|Africa|2014-09-24,Africa,6B,GISAID
EPI_ISL_207930|pdm09|HA|Africa|2015-02-23,Africa,6B,GISAID
EPI_ISL_227400|pdm09|HA|Africa|2015-10-14,Africa,6B,GISAID
EPI_ISL_216454|pdm09|HA|Africa|2015-08-11,Africa,6B,GISAID
EPI_ISL_498930|pdm09|HA|Africa|2015-11-25,Africa,6B,GISAID
EPI_ISL_223226|pdm09|HA|Africa|2015-11-12,Africa,6B,GISAID
EPI_ISL_208485|pdm09|HA|Africa|2015-09-29,Africa,6B,GISAID
EPI_ISL_219617|pdm09|HA|Africa|2015-08-19,Africa,6B,GISAID
EPI_ISL_191827|pdm09|HA|Africa|2015-04-06,Africa,6B,GISAID
EPI_ISL_220958|pdm09|HA|Africa|2015-07-20,Africa,6B,GISAID
EPI_ISL_214911|pdm09|HA|Africa|2015-11-22,Africa,6B,GISAID
EPI_ISL_191829|pdm09|HA|Africa|2015-05-07,Africa,6B,GISAID
EPI_ISL_224782|pdm09|HA|Africa|2015-10-01,Africa,6B.1,GISAID
EPI_ISL_191836|pdm09|HA|Africa|2015-03-18,Africa,6B,GISAID
EPI_ISL_219595|pdm09|HA|Africa|2015-11-09,Africa,6B,GISAID
EPI_ISL_428980|pdm09|HA|Africa|2015-08-12,Africa,6B,GISAID
EPI_ISL_191835|pdm09|HA|Africa|2015-03-30,Africa,6B,GISAID
EPI_ISL_223813|pdm09|HA|Africa|2016-03-10,Africa,6B.1,GISAID
EPI_ISL_237593|pdm09|HA|Africa|2016-05-04,Africa,6B.1,GISAID
EPI_ISL_427466|pdm09|HA|Africa|2016-08-22,Africa,6B,GISAID
EPI_ISL_231923|pdm09|HA|Africa|2016-01-20,Africa,6B.1,GISAID
EPI_ISL_427464|pdm09|HA|Africa|2016-07-25,Africa,6B,GISAID
EPI_ISL_216223|pdm09|HA|Africa|2016-01-27,Africa,6B.1,GISAID
EPI_ISL_231942|pdm09|HA|Africa|2016-01-21,Africa,6B.1,GISAID
EPI_ISL_223812|pdm09|HA|Africa|2016-03-29,Africa,6B.1,GISAID
EPI_ISL_427467|pdm09|HA|Africa|2016-08-22,Africa,6B,GISAID
EPI_ISL_231911|pdm09|HA|Africa|2016-01-20,Africa,6B.1,GISAID
EPI_ISL_230531|pdm09|HA|Africa|2016-02-23,Africa,6B,GISAID
EPI_ISL_260158|pdm09|HA|Africa|2016-10-24,Africa,6B.1,GISAID
EPI_ISL_260265|pdm09|HA|Africa|2016-02-26,Africa,6B.1,GISAID
EPI_ISL_231953|pdm09|HA|Africa|2016-01-20,Africa,6B.1,GISAID
EPI_ISL_232668|pdm09|HA|Africa|2016-03-03,Africa,6B.1,GISAID
EPI_ISL_237639|pdm09|HA|Africa|2016-02-17,Africa,6B,GISAID
EPI_ISL_283232|pdm09|HA|Africa|2017-03-29,Africa,6B.1,GISAID
EPI_ISL_282771|pdm09|HA|Africa|2017-04-19,Africa,6B.1,GISAID
EPI_ISL_300855|pdm09|HA|Africa|2017-11-02,Africa,6B.1A.5b,GISAID
EPI_ISL_300913|pdm09|HA|Africa|2017-10-03,Africa,6B.1,GISAID
EPI_ISL_300849|pdm09|HA|Africa|2017-11-02,Africa,6B.1A.5b,GISAID
EPI_ISL_299850|pdm09|HA|Africa|2017-12-18,Africa,6B.1A,GISAID
EPI_ISL_287184|pdm09|HA|Africa|2017-06-04,Africa,6B.1,GISAID
EPI_ISL_299837|pdm09|HA|Africa|2017-10-25,Africa,6B.1A,GISAID
EPI_ISL_298529|pdm09|HA|Africa|2017-12-17,Africa,6B.1A,GISAID
EPI_ISL_300037|pdm09|HA|Africa|2017-12-22,Africa,6B,GISAID
EPI_ISL_300885|pdm09|HA|Africa|2017-11-02,Africa,6B.1A.5b,GISAID
MG745930|pdm09|HA|Africa|2017-12-07,Africa,6B.1A.1,GenBank
EPI_ISL_260262|pdm09|HA|Africa|2017-02-16,Africa,6B.1,GISAID
EPI_ISL_281629|pdm09|HA|Africa|2017-05-03,Africa,6B.1,GISAID
EPI_ISL_283229|pdm09|HA|Africa|2017-03-31,Africa,6B.1,GISAID
EPI_ISL_301302|pdm09|HA|Africa|2017-12-26,Africa,6B.1A.5,GISAID
EPI_ISL_336637|pdm09|HA|Africa|2018-09-19,Africa,6B.1A.5b,GISAID
EPI_ISL_336639|pdm09|HA|Africa|2018-10-01,Africa,6B.1A.5b,GISAID
EPI_ISL_355303|pdm09|HA|Africa|2018-09-10,Africa,6B.1A.5b,GISAID
EPI_ISL_332398|pdm09|HA|Africa|2018-05-24,Africa,6B.1A.5,GISAID
EPI_ISL_320432|pdm09|HA|Africa|2018-06-06,Africa,6B.1A.5,GISAID
EPI_ISL_330830|pdm09|HA|Africa|2018-04-17,Africa,6B.1A.1,GISAID
EPI_ISL_330825|pdm09|HA|Africa|2018-02-27,Africa,6B.1A,GISAID
EPI_ISL_426330|pdm09|HA|Africa|2018-03-24,Africa,6B.1A,GISAID
EPI_ISL_320597|pdm09|HA|Africa|2018-04-23,Africa,6B.1A,GISAID
EPI_ISL_428416|pdm09|HA|Africa|2018-07-16,Africa,6B.1A,GISAID
EPI_ISL_320599|pdm09|HA|Africa|2018-05-25,Africa,6B.1A.5,GISAID
EPI_ISL_355304|pdm09|HA|Africa|2018-01-22,Africa,6B.1A.5,GISAID
EPI_ISL_355406|pdm09|HA|Africa|2018-12-12,Africa,6B.1A.1,GISAID
EPI_ISL_421437|pdm09|HA|Africa|2018-02-20,Africa,6B.1A,GISAID
EPI_ISL_314257|pdm09|HA|Africa|2018-03-16,Africa,6B.1A.5,GISAID
EPI_ISL_319834|pdm09|HA|Africa|2018-05-07,Africa,6B.1A.5,GISAID
EPI_ISL_413758|pdm09|HA|Africa|2019-08-21,Africa,6B.1A.5a,GISAID
EPI_ISL_413806|pdm09|HA|Africa|2019-09-09,Africa,6B.1A.5a,GISAID
EPI_ISL_377819|pdm09|HA|Africa|2019-01-31,Africa,6B.1A.5a,GISAID
EPI_ISL_416155|pdm09|HA|Africa|2019-09-11,Africa,6B.1A.5b,GISAID
EPI_ISL_16208626|pdm09|HA|Africa|2019-02-12,Africa,6B.1A.6,GISAID
EPI_ISL_364554|pdm09|HA|Africa|2019-03-18,Africa,6B.1A,GISAID
EPI_ISL_355449|pdm09|HA|Africa|2019-01-16,Africa,6B.1A.6,GISAID
EPI_ISL_416161|pdm09|HA|Africa|2019-10-17,Africa,6B.1A.5b,GISAID
EPI_ISL_388895|pdm09|HA|Africa|2019-04-23,Africa,6B.1A,GISAID
EPI_ISL_355258|pdm09|HA|Africa|2019-02-08,Africa,6B.1A.6,GISAID
EPI_ISL_367869|pdm09|HA|Africa|2019-02-04,Africa,6B.1A.5a,GISAID
EPI_ISL_355322|pdm09|HA|Africa|2019-02-05,Africa,6B.1A.6,GISAID
EPI_ISL_413350|pdm09|HA|Africa|2019-09-06,Africa,6B.1A.5a,GISAID
EPI_ISL_355325|pdm09|HA|Africa|2019-01-15,Africa,6B.1A.6,GISAID
EPI_ISL_388837|pdm09|HA|Africa|2019-03-11,Africa,6B.1A.6,GISAID
EPI_ISL_362258|pdm09|HA|Africa|2019-04-04,Africa,6B.1A.5a,GISAID
EPI_ISL_534363|pdm09|HA|Africa|2020-03-13,Africa,6B.1A.5a,GISAID
EPI_ISL_508576|pdm09|HA|Africa|2020-03-25,Africa,6B.1A.5a.1,GISAID
EPI_ISL_2932714|pdm09|HA|Africa|2020-01-06,Africa,6B.1A.5a,GISAID
EPI_ISL_514732|pdm09|HA|Africa|2020-02-09,Africa,6B.1A.5a.1,GISAID
EPI_ISL_2932731|pdm09|HA|Africa|2021-01-01,Africa,6B.1A.5a.1,GISAID
EPI_ISL_1034791|pdm09|HA|Africa|2020-02-17,Africa,6B.1A.5a,GISAID
EPI_ISL_882898|pdm09|HA|Africa|2020-11-02,Africa,6B.1A.5a.1,GISAID
EPI_ISL_882901|pdm09|HA|Africa|2020-10-27,Africa,6B.1A.5a.1,GISAID
EPI_ISL_628787|pdm09|HA|Africa|2020-02-24,Africa,6B.1A.5a.1,GISAID
EPI_ISL_508544|pdm09|HA|Africa|2020-01-28,Africa,6B.1A.5a.1,GISAID
EPI_ISL_628803|pdm09|HA|Africa|2020-03-11,Africa,6B.1A.5a.1,GISAID
EPI_ISL_628794|pdm09|HA|Africa|2020-02-17,Africa,6B.1A.5a.1,GISAID
EPI_ISL_882891|pdm09|HA|Africa|2020-11-12,Africa,6B.1A.5a.1,GISAID
EPI_ISL_1368458|pdm09|HA|Africa|2020-09-16,Africa,6B.1A.5a.1,GISAID
EPI_ISL_527254|pdm09|HA|Africa|2020-03-30,Africa,6B.1A.5a.1,GISAID
EPI_ISL_510028|pdm09|HA|Africa|2020-02-10,Africa,6B.1A.5a.2,GISAID
EPI_ISL_8576489|pdm09|HA|Africa|2021-10-04,Africa,6B.1A.5a.1,GISAID
EPI_ISL_3534831|pdm09|HA|Africa|2021-03-29,Africa,6B.1A.5a.1,GISAID
EPI_ISL_2625848|pdm09|HA|Africa|2021-02-17,Africa,6B.1A.5a.1,GISAID
EPI_ISL_9713685|pdm09|HA|Africa|2021-11-02,Africa,6B.1A.5a.1,GISAID
EPI_ISL_3796256|pdm09|HA|Africa|2021-05-07,Africa,6B.1A.5a.1,GISAID
EPI_ISL_2918688|pdm09|HA|Africa|2021-03-24,Africa,6B.1A.5a.1,GISAID
EPI_ISL_2625855|pdm09|HA|Africa|2021-03-10,Africa,6B.1A.5a.1,GISAID
EPI_ISL_2918707|pdm09|HA|Africa|2021-03-07,Africa,6B.1A.5a.1,GISAID
EPI_ISL_9140517|pdm09|HA|Africa|2021-09-27,Africa,6B.1A.5a.1,GISAID
EPI_ISL_8576488|pdm09|HA|Africa|2021-10-03,Africa,6B.1A.5a.1,GISAID
EPI_ISL_12942299|pdm09|HA|Africa|2021-10-20,Africa,6B.1A.5a.1,GISAID
EPI_ISL_12241627|pdm09|HA|Africa|2021-10-04,Africa,6B.1A.5a.1,GISAID
EPI_ISL_12942303|pdm09|HA|Africa|2021-10-13,Africa,6B.1A.5a.1,GISAID
EPI_ISL_12241622|pdm09|HA|Africa|2021-10-04,Africa,6B.1A.5a.1,GISAID
EPI_ISL_2625830|pdm09|HA|Africa|2021-02-10,Africa,6B.1A.5a.1,GISAID
EPI_ISL_17805811|pdm09|HA|Africa|2021-09-27,Africa,6B.1A.5a.1,GISAID
EPI_ISL_16830518|pdm09|HA|Africa|2022-12-20,Africa,6B.1A.5a.2a,GISAID
EPI_ISL_14861051|pdm09|HA|Africa|2022-06-10,Africa,6B.1A.5a.1,GISAID
EPI_ISL_14861156|pdm09|HA|Africa|2022-06-10,Africa,6B.1A.5a.2a,GISAID
EPI_ISL_16765007|pdm09|HA|Africa|2022-09-19,Africa,6B.1A.5a.1,GISAID
EPI_ISL_13957803|pdm09|HA|Africa|2022-05-20,Africa,6B.1A.5a.2a.1,GISAID
EPI_ISL_16765004|pdm09|HA|Africa|2022-11-22,Africa,6B.1A.5a.1,GISAID
EPI_ISL_14467947|pdm09|HA|Africa|2022-04-25,Africa,6B.1A.5a.2a.1,GISAID
EPI_ISL_16619605|pdm09|HA|Africa|2022-07-13,Africa,6B.1A.5a.1,GISAID
EPI_ISL_15286642|pdm09|HA|Africa|2022-08-09,Africa,6B.1A.5a.1,GISAID
EPI_ISL_16834561|pdm09|HA|Africa|2022-12-06,Africa,6B.1A.5a.2a,GISAID
EPI_ISL_14212865|pdm09|HA|Africa|2022-04-25,Africa,6B.1A.5a.2a,GISAID
EPI_ISL_16619599|pdm09|HA|Africa|2022-07-04,Africa,6B.1A.5a.1,GISAID
EPI_ISL_14212867|pdm09|HA|Africa|2022-04-28,Africa,6B.1A.5a.2a,GISAID
EPI_ISL_14861722|pdm09|HA|Africa|2022-05-31,Africa,6B.1A.5a.1,GISAID
EPI_ISL_17103039|pdm09|HA|Africa|2022-12-20,Africa,6B.1A.5a.2a,GISAID
EPI_ISL_13953922|pdm09|HA|Africa|2022-06-24,Africa,6B.1A.5a.2a.1,GISAID
CY134451|pdm09|HA|Europe|2011-02-11,Europe,6,GenBank
EPI_ISL_134915|pdm09|HA|Europe|2012-12-19,Europe,6C,GISAID
EPI_ISL_136348|pdm09|HA|Europe|2012-11-26,Europe,6C,GISAID
EPI_ISL_133960|pdm09|HA|Europe|2012-12-24,Europe,6C,GISAID
EPI_ISL_136326|pdm09|HA|Europe|2012-11-22,Europe,6C,GISAID
KF560182|pdm09|HA|Europe|2012-03-03,Europe,6,GenBank
EPI_ISL_134353|pdm09|HA|Europe|2012-12-17,Europe,6,GISAID
EPI_ISL_134573|pdm09|HA|Europe|2012-11-30,Europe,6C,GISAID
EPI_ISL_134123|pdm09|HA|Europe|2012-12-08,Europe,6C,GISAID
EPI_ISL_134129|pdm09|HA|Europe|2012-12-18,Europe,6C,GISAID
EPI_ISL_134572|pdm09|HA|Europe|2012-11-28,Europe,6C,GISAID
EPI_ISL_131859|pdm09|HA|Europe|2012-11-14,Europe,6C,GISAID
EPI_ISL_134578|pdm09|HA|Europe|2012-12-17,Europe,6C,GISAID
EPI_ISL_175486|pdm09|HA|Europe|2012-12-11,Europe,6C,GISAID
EPI_ISL_134562|pdm09|HA|Europe|2012-10-30,Europe,6C,GISAID
EPI_ISL_134579|pdm09|HA|Europe|2012-12-14,Europe,6C,GISAID
EPI_ISL_134130|pdm09|HA|Europe|2012-12-30,Europe,6C,GISAID
EPI_ISL_144056|pdm09|HA|Europe|2013-02-15,Europe,6C,GISAID
EPI_ISL_138814|pdm09|HA|Europe|2013-02-05,Europe,6C,GISAID
EPI_ISL_143651|pdm09|HA|Europe|2013-02-15,Europe,6C,GISAID
EPI_ISL_144787|pdm09|HA|Europe|2013-02-08,Europe,6C,GISAID
EPI_ISL_135274|pdm09|HA|Europe|2013-01-21,Europe,6C,GISAID
EPI_ISL_134405|pdm09|HA|Europe|2013-01-07,Europe,6C,GISAID
EPI_ISL_137280|pdm09|HA|Europe|2013-01-29,Europe,6C,GISAID
EPI_ISL_149782|pdm09|HA|Europe|2013-10-03,Europe,6B,GISAID
EPI_ISL_141603|pdm09|HA|Europe|2013-03-26,Europe,6B,GISAID
KF791409|pdm09|HA|Europe|2013-01-14,Europe,6C,GenBank
EPI_ISL_143134|pdm09|HA|Europe|2013-02-05,Europe,6B,GISAID
EPI_ISL_139621|pdm09|HA|Europe|2013-03-11,Europe,6C,GISAID
KF559806|pdm09|HA|Europe|2013-02-11,Europe,6C,GenBank
EPI_ISL_139591|pdm09|HA|Europe|2013-01-28,Europe,6C,GISAID
EPI_ISL_153248|pdm09|HA|Europe|2013-12-13,Europe,6B,GISAID
EPI_ISL_142839|pdm09|HA|Europe|2013-01-07,Europe,6C,GISAID
EPI_ISL_162396|pdm09|HA|Europe|2014-02-19,Europe,6B,GISAID
EPI_ISL_207294|pdm09|HA|Europe|2014-01-14,Europe,6B,GISAID
EPI_ISL_155685|pdm09|HA|Europe|2013-12-30,Europe,6B,GISAID
EPI_ISL_207287|pdm09|HA|Europe|2014-02-04,Europe,6B,GISAID
EPI_ISL_159657|pdm09|HA|Europe|2014-02-24,Europe,6B,GISAID
EPI_ISL_169356|pdm09|HA|Europe|2014-10-31,Europe,6B,GISAID
EPI_ISL_163577|pdm09|HA|Europe|2014-01-19,Europe,6B,GISAID
EPI_ISL_202983|pdm09|HA|Europe|2014-02-28,Europe,6B,GISAID
EPI_ISL_163086|pdm09|HA|Europe|2014-04-02,Europe,6B,GISAID
EPI_ISL_162417|pdm09|HA|Europe|2014-02-03,Europe,6B,GISAID
EPI_ISL_155859|pdm09|HA|Europe|2014-01-10,Europe,6B,GISAID
EPI_ISL_170401|pdm09|HA|Europe|2014-12-04,Europe,6B,GISAID
EPI_ISL_169260|pdm09|HA|Europe|2014-12-03,Europe,6B,GISAID
EPI_ISL_163081|pdm09|HA|Europe|2014-01-22,Europe,6B,GISAID
EPI_ISL_154267|pdm09|HA|Europe|2014-01-05,Europe,6B,GISAID
EPI_ISL_157648|pdm09|HA|Europe|2014-01-24,Europe,6B,GISAID
EPI_ISL_190960|pdm09|HA|Europe|2015-04-11,Europe,6B,GISAID
EPI_ISL_177073|pdm09|HA|Europe|2015-02-22,Europe,6B,GISAID
EPI_ISL_208323|pdm09|HA|Europe|2015-11-24,Europe,6B,GISAID
EPI_ISL_212275|pdm09|HA|Europe|2015-12-19,Europe,6B.1,GISAID
EPI_ISL_211669|pdm09|HA|Europe|2015-12-16,Europe,6B,GISAID
EPI_ISL_183640|pdm09|HA|Europe|2015-01-12,Europe,6B,GISAID
EPI_ISL_191098|pdm09|HA|Europe|2015-04-02,Europe,6B,GISAID
EPI_ISL_240925|pdm09|HA|Europe|2015-10-02,Europe,6B.1,GISAID
EPI_ISL_201350|pdm09|HA|Europe|2015-10-27,Europe,6B,GISAID
EPI_ISL_192045|pdm09|HA|Europe|2015-04-10,Europe,6B,GISAID
EPI_ISL_191602|pdm09|HA|Europe|2015-03-03,Europe,6B,GISAID
EPI_ISL_206088|pdm09|HA|Europe|2015-12-16,Europe,6B.1,GISAID
EPI_ISL_174531|pdm09|HA|Europe|2015-02-24,Europe,6B,GISAID
EPI_ISL_212253|pdm09|HA|Europe|2015-12-15,Europe,6B.1,GISAID
EPI_ISL_205745|pdm09|HA|Europe|2015-11-30,Europe,6B.1,GISAID
EPI_ISL_213873|pdm09|HA|Europe|2016-01-03,Europe,6B.1,GISAID
EPI_ISL_212030|pdm09|HA|Europe|2016-01-26,Europe,6B.1,GISAID
EPI_ISL_231524|pdm09|HA|Europe|2016-03-02,Europe,6B.1,GISAID
EPI_ISL_225580|pdm09|HA|Europe|2016-02-17,Europe,6B.1,GISAID
EPI_ISL_222716|pdm09|HA|Europe|2016-01-29,Europe,6B.1,GISAID
EPI_ISL_221333|pdm09|HA|Europe|2016-01-26,Europe,6B.1,GISAID
EPI_ISL_221446|pdm09|HA|Europe|2016-01-20,Europe,6B.1,GISAID
EPI_ISL_213288|pdm09|HA|Europe|2016-02-10,Europe,6B.1,GISAID
EPI_ISL_215686|pdm09|HA|Europe|2016-03-09,Europe,6B.1,GISAID
EPI_ISL_213758|pdm09|HA|Europe|2016-02-11,Europe,6B.1,GISAID
EPI_ISL_15083876|pdm09|HA|Europe|2016-02-13,Europe,6B.1,GISAID
EPI_ISL_213058|pdm09|HA|Europe|2016-02-09,Europe,6B.1,GISAID
EPI_ISL_213905|pdm09|HA|Europe|2016-01-25,Europe,6B.1,GISAID
EPI_ISL_210419|pdm09|HA|Europe|2016-01-08,Europe,6B.1,GISAID
EPI_ISL_224830|pdm09|HA|Europe|2016-01-28,Europe,6B.1,GISAID
EPI_ISL_213438|pdm09|HA|Europe|2016-02-02,Europe,6B.1,GISAID
EPI_ISL_232049|pdm09|HA|Europe|2016-01-13,Europe,6B.1,GISAID
EPI_ISL_253480|pdm09|HA|Europe|2017-01-23,Europe,6B.1,GISAID
EPI_ISL_266852|pdm09|HA|Europe|2017-05-04,Europe,6B.1A,GISAID
EPI_ISL_300477|pdm09|HA|Europe|2017-10-24,Europe,6B.1A.5,GISAID
MK949287|pdm09|HA|Europe|2017-12-20,Europe,6B.1A.5,GenBank
EPI_ISL_298843|pdm09|HA|Europe|2017-12-29,Europe,6B.1A.5b,GISAID
EPI_ISL_291795|pdm09|HA|Europe|2017-11-27,Europe,6B.1A,GISAID
EPI_ISL_292825|pdm09|HA|Europe|2017-11-17,Europe,6B.1A.5b,GISAID
EPI_ISL_295060|pdm09|HA|Europe|2017-12-15,Europe,6B.1A.5b,GISAID
EPI_ISL_300474|pdm09|HA|Europe|2017-12-31,Europe,6B.1A,GISAID
EPI_ISL_303895|pdm09|HA|Europe|2017-12-18,Europe,6B.1A.1,GISAID
EPI_ISL_282145|pdm09|HA|Europe|2017-07-24,Europe,6B.1,GISAID
EPI_ISL_292314|pdm09|HA|Europe|2017-12-04,Europe,6B.1A,GISAID
EPI_ISL_292227|pdm09|HA|Europe|2017-12-14,Europe,6B.1A.5,GISAID
EPI_ISL_308421|pdm09|HA|Europe|2017-12-19,Europe,6B.1A.5,GISAID
EPI_ISL_270912|pdm09|HA|Europe|2017-02-14,Europe,6B.1,GISAID
EPI_ISL_298695|pdm09|HA|Europe|2017-12-31,Europe,6B.1A.5,GISAID
EPI_ISL_306013|pdm09|HA|Europe|2018-01-10,Europe,6B.1A.5,GISAID
EPI_ISL_332133|pdm09|HA|Europe|2018-11-13,Europe,6B.1A.5a,GISAID
EPI_ISL_315723|pdm09|HA|Europe|2018-02-26,Europe,6B.1A.5,GISAID
EPI_ISL_320111|pdm09|HA|Europe|2018-03-14,Europe,6B.1A,GISAID
EPI_ISL_335527|pdm09|HA|Europe|2018-12-13,Europe,6B.1A.5a,GISAID
EPI_ISL_334418|pdm09|HA|Europe|2018-12-29,Europe,6B.1A.5a,GISAID
EPI_ISL_305488|pdm09|HA|Europe|2018-02-25,Europe,6B.1A,GISAID
MK400753|pdm09|HA|Europe|2018-01-23,Europe,6B.1A,GenBank
EPI_ISL_305478|pdm09|HA|Europe|2018-02-19,Europe,6B.1A.5,GISAID
EPI_ISL_319869|pdm09|HA|Europe|2018-02-01,Europe,6B.1A.5b,GISAID
EPI_ISL_336144|pdm09|HA|Europe|2018-12-16,Europe,6B.1A.5a,GISAID
EPI_ISL_314279|pdm09|HA|Europe|2018-02-09,Europe,6B.1A,GISAID
EPI_ISL_337055|pdm09|HA|Europe|2018-12-19,Europe,6B.1A.6,GISAID
EPI_ISL_300468|pdm09|HA|Europe|2018-01-09,Europe,6B.1A.5,GISAID
EPI_ISL_329740|pdm09|HA|Europe|2018-08-31,Europe,6B.1A,GISAID
EPI_ISL_320806|pdm09|HA|Europe|2018-03-08,Europe,6B.1A.5b,GISAID
EPI_ISL_363013|pdm09|HA|Europe|2019-02-19,Europe,6B.1A.2,GISAID
EPI_ISL_390469|pdm09|HA|Europe|2019-01-17,Europe,6B.1A.5a,GISAID
EPI_ISL_339959|pdm09|HA|Europe|2019-01-18,Europe,6B.1A.5a,GISAID
EPI_ISL_5135783|pdm09|HA|Europe|2019-08-21,Europe,6B.1A.5a,GISAID
EPI_ISL_339969|pdm09|HA|Europe|2019-01-22,Europe,6B.1A.5a,GISAID
EPI_ISL_336951|pdm09|HA|Europe|2019-01-07,Europe,6B.1A.5a,GISAID
EPI_ISL_335730|pdm09|HA|Europe|2019-01-02,Europe,6B.1A,GISAID
MK839283|pdm09|HA|Europe|2019-01-28,Europe,6B.1A.5a,GenBank
EPI_ISL_356483|pdm09|HA|Europe|2019-02-18,Europe,6B.1A.5a,GISAID
EPI_ISL_343422|pdm09|HA|Europe|2019-01-25,Europe,6B.1A.7,GISAID
EPI_ISL_338283|pdm09|HA|Europe|2019-01-04,Europe,6B.1A.5a,GISAID
EPI_ISL_407826|pdm09|HA|Europe|2019-12-23,Europe,6B.1A.5a.1,GISAID
EPI_ISL_387079|pdm09|HA|Europe|2019-02-26,Europe,6B.1A.7,GISAID
EPI_ISL_404998|pdm09|HA|Europe|2019-12-09,Europe,6B.1A.5a.1,GISAID
EPI_ISL_343227|pdm09|HA|Europe|2019-02-16,Europe,6B.1A.5a,GISAID
EPI_ISL_343446|pdm09|HA|Europe|2019-02-04,Europe,6B.1A.5a,GISAID
EPI_ISL_406956|pdm09|HA|Europe|2020-01-11,Europe,6B.1A.5a.1,GISAID
EPI_ISL_515504|pdm09|HA|Europe|2020-03-11,Europe,6B.1A.5a,GISAID
EPI_ISL_412020|pdm09|HA|Europe|2020-01-09,Europe,6B.1A.5a.1,GISAID
EPI_ISL_512126|pdm09|HA|Europe|2020-02-04,Europe,6B.1A.5a.1,GISAID
EPI_ISL_412396|pdm09|HA|Europe|2020-01-15,Europe,6B.1A.5a.1,GISAID
EPI_ISL_429888|pdm09|HA|Europe|2020-01-28,Europe,6B.1A.5a.1,GISAID
EPI_ISL_9029219|pdm09|HA|Europe|2020-03-05,Europe,6B.1A.5a.1,GISAID
EPI_ISL_487150|pdm09|HA|Europe|2020-02-13,Europe,6B.1A.5a.1,GISAID
